page,step,lead,result,figures,lead_translation,result_translation,,
18,1(6),Крилові чохли не виражені або намічені дуже слабо.,,,Wing rudiments are not developed or outlined very weakly.,,Wing covers are not expressed or outlined very poorly.,
18,2(3),"Голова звичайно майже вертикальна, спереду зморшкувата, потилиця зовсім гладенька. Задній край середньоспинки плавно вигнутий, без виступів ззаду (рис. 18, I).",I стадія,18,"The head is usually almost vertical, wrinkled in front, the back of the head completely smooth. The rear edge of the mesonotum is smoothly curved, without protrusions (Fig. 18, I).",Instar I,"The head is usually almost vertical, wrinkled in front, the nape is quite smooth. The back edge of the medium -duck is smoothly curved, without projections from the back (Fig. 18, I).",I stage
18,3(2),"Голова частіше слабо нахилена, зморшкувата або пунктірована. Задний край середньоспинки з більш або менш чітко наміченим зачатком щитка.",,,"The head is often slightly tilted, wrinkled or dotted. The rear edge of the mesonotum with a more or less clearly defined shield rudiment.",,"The head is often slightly tilted, wrinkled or punctured. The back edge of the mid -ding with a more or less clearly outlined pile.",
18,4(5),"Зачаток щитка слабо виражений, задний край середньоспинки плавний, не вигнутий біля середньобокових ліній. Середньоспинка перед середньобоковою лінією довша,ніж за нею, тобто дещо звужуєтьця в напрямі до боків (рис. 18, II). Менші.",II стадія,18,"The shield rudiment is weakly defined, the rear edge of the mesonotum is smooth, not curved near the mediolateral lines. The mesonotum is wider in front of the mediolateral line than behind it, i.e. it becomes lightly narrower (Fig. 18, II). Smaller.",Instar II,"The concept of the panel is poorly expressed, the back edge of the middle -duck is smooth, not curved near the middle lines. The medium -shed before the middle line is longer than behind it, that is, somewhat narrows in the direction to the sides (Fig. 18, II). Smaller.",Stage II
18,5(4),"Зачаток щитка чітко виражений, задній край середньоспинки поблизу середньобокових ліній (біля основних кутів щитка) спрямленій. Середньоспинка перед середньобоковою лінією звичайно коротша, ніж за нею, тобто дещо розшірюєтьця в напрямі до бокіб (рис. 18, III). Більші.",III стадія,18,"The shield rudiment is clearly defined, the rear edge of the mesonotum is straightened near the midlateral lines (near the main corners of the shield). The mesonotum is usually narrower in front of the mid-lateral line than behind it, i.e. it becomes slightly wider (Fig. 18, III). Bigger.",Instar III,"The concept of the shield is clearly expressed, the back edge of the middle -duck near the middle line lines (near the main corners of the shield) is directed. The medium -shed in front of the middle line is usually shorter than it, that is, somewhat stretched in the direction of the box (Fig. 18, III). Larger.",Stage III
19,6(1),Крилові чохли добре розвинені.,,,Wing rudiments are well developed.,,Wing covers are well developed.,
19,7(8),"Вершини чохлів надкрил не доходять до заднього краю першого тергіта черевця (рис. 18, IV).",IV стадія,18,"The tops of the hemelytra do not reach the posterior edge of the first tergite of the abdomen (Fig. 18, IV).",Instar IV,"The vertices of the covers of the elytra do not reach the posterior edge of the first tergitis of the abdomen (Fig. 18, IV).",Stage IV
19,8(7),"Вершини чохлів надкрил звичайно доходять до III--IV тергітів (рис. 18, V).",V стадія,18,"The tops of the hemelytra usually reach tergites III-IV (Fig. 18, V).",Instar V,"The peaks of the springs of the bonds usually reach the III-IV tergits (Fig. 18, V).",V stage
,,Таблиця для визначення родин надродини щитників,,,Table for determining the families of Pentatomoidea,,Table to determine the families of the boards of shields,
48,1(2),"Відстань між крайовими отворами черевної залози на першій випарний площадці вдвоє коротша, ніж на другій (рис. 23, 1). Хоботок більш наближений до основи, ніж до вершини голові (рис. 28, 2, б).",Родина півкулясті щитники -- Plataspidae,23; 28,"The distance between the ostioles of the abdominal gland on the first ESES is shorter than on the second (Fig. 23, 1). The proboscis is closer to the base than to the top of the head (Fig. 28, 2, b).", -- Plataspidae,"The distance between the marginal openings of the abdominal gland on the first evaporation platform is twice as shorter than the second (Fig. 23, 1). The proboscis is more close to the base than to the top of the head (Figs. 28, 2b).",The hemispheric shields - plataspidae
